images id,defect_flag
000692.png,1
000698.png,0
000701.png,0
000697.png,1
000696.png,1
000699.png,0
000700.png,1
000695.png,1
000704.png,0
000706.png,1
000707.png,0
000705.png,1
000702.png,1
000703.png,0
000712.png,1
000709.png,0
000708.png,0
000713.png,0
000711.png,1
000710.png,1
000720.png,1
000717.png,1
000718.png,0
000716.png,0
000715.png,1
000714.png,0
000719.png,0
000724.png,1
000725.png,0
000726.png,1
000722.png,0
000723.png,0
000721.png,1
000730.png,1
000728.png,0
000729.png,1
000733.png,1
000732.png,0
000727.png,0
000731.png,0
000739.png,1
000734.png,0
000736.png,1
000737.png,0
000735.png,0
000738.png,1
000744.png,0
000746.png,0
000740.png,0
000745.png,0
000743.png,0
000742.png,1
000741.png,0
000752.png,0
000751.png,1
000749.png,0
000747.png,1
000748.png,0
000750.png,0
000754.png,0
000755.png,1
000757.png,0
000756.png,1
000753.png,0
000759.png,0
000758.png,0
000765.png,1
000760.png,1
000761.png,0
000764.png,0
000762.png,0
000763.png,0
000769.png,1
000771.png,0
000767.png,0
000768.png,0
000766.png,0
000770.png,0
000772.png,0
000774.png,1
000775.png,0
000776.png,0
000777.png,0
000773.png,0
000778.png,0
000782.png,0
000783.png,1
000780.png,0
000779.png,1
000784.png,0
000781.png,0
000789.png,1
000787.png,1
000785.png,0
000788.png,0
000786.png,0
000790.png,0
000791.png,0
000792.png,1
000793.png,0
000795.png,0
000797.png,1
000796.png,1
000794.png,0
000802.png,0
000804.png,1
000799.png,0
000803.png,1
000801.png,1
000800.png,0
000798.png,0
000808.png,0
000807.png,0
000806.png,1
000809.png,1
000805.png,0
000813.png,0
000812.png,0
000811.png,0
000810.png,1
000814.png,0
000817.png,1
000815.png,1
000816.png,0
000819.png,1
000818.png,1
000820.png,0
000821.png,0
000824.png,1
000826.png,0
000823.png,0
000822.png,0
000825.png,0
000828.png,1
000829.png,0
000830.png,0
000827.png,0
000831.png,0
000834.png,1
000835.png,0
000832.png,0
000833.png,1
000840.png,1
000839.png,0
000837.png,1
000836.png,1
000838.png,0
000842.png,1
000844.png,1
000845.png,0
000841.png,1
000843.png,0
000846.png,1
000849.png,0
000848.png,1
000847.png,0
000852.png,0
000855.png,0
000853.png,0
000851.png,1
000854.png,1
000850.png,0
000861.png,0
000860.png,1
000858.png,0
000857.png,0
000856.png,1
000859.png,0
000863.png,0
000866.png,0
000867.png,1
000864.png,0
000865.png,1
000862.png,0
000872.png,0
000870.png,0
000871.png,0
000869.png,1
000868.png,0
000878.png,1
000873.png,1
000879.png,0
000874.png,1
000877.png,0
000875.png,0
000876.png,0
000883.png,1
000882.png,0
000884.png,0
000881.png,0
000880.png,0
000890.png,1
000888.png,0
000886.png,0
000885.png,1
000887.png,1
000889.png,0
000892.png,1
000893.png,0
000895.png,1
000894.png,1
000891.png,0
000898.png,0
000899.png,1
000896.png,0
000900.png,0
000897.png,0
000906.png,0
000903.png,0
000905.png,0
000901.png,1
000904.png,0
000902.png,0
000913.png,0
000911.png,0
000908.png,0
000909.png,0
000912.png,1
000907.png,0
000910.png,1
000919.png,1
000914.png,1
000917.png,0
000916.png,0
000915.png,0
000918.png,0
000925.png,0
000923.png,0
000922.png,0
000920.png,0
000921.png,1
000924.png,1
000929.png,0
000926.png,0
000927.png,1
000931.png,1
000932.png,1
000930.png,0
000928.png,0
000938.png,0
000935.png,0
000936.png,1
000933.png,1
000937.png,0
000934.png,0
000941.png,0
000944.png,0
000940.png,0
000939.png,0
000942.png,0
000943.png,0
000948.png,1
000946.png,1
000950.png,0
000947.png,0
000949.png,0
000945.png,0
000954.png,1
000952.png,0
000956.png,0
000955.png,0
000951.png,1
000953.png,0
000959.png,0
000961.png,0
000958.png,0
000962.png,1
000960.png,1
